date,bond_code,side,reason,price,quantity,notional,fee
2020-04-13,128040,buy,rebalance,114.09,0.0007613515540250917,0.08686259879872271,8.686259879872272e-05
2020-04-13,128041,buy,rebalance,138.3,0.0006280737440254715,0.08686259879872271,8.686259879872272e-05
2020-04-13,128021,buy,rebalance,122.001,1.52756842426221e-05,0.001863648753284139,1.8636487532841389e-06
2020-04-13,128025,buy,rebalance,113.75,5.6916420047434825e-06,0.0006474242780395711,6.474242780395712e-07
2020-04-21,128039,sell,rebalance,128.0,0.000709951767868596,0.09087382628718028,9.087382628718029e-05
2020-04-21,110044,sell,rebalance,159.0,0.0006378513643613064,0.10141836693344772,0.00010141836693344772
2020-04-21,123014,sell,rebalance,164.0,0.000734878162425742,0.12052001863782169,0.00012052001863782169
2020-04-21,123012,sell,rebalance,136.0,0.0007653092405173807,0.10408205671036377,0.00010408205671036378
2020-04-21,113514,sell,rebalance,138.0,0.0007238549899893559,0.09989198861853112,9.989198861853112e-05
2020-04-21,128041,sell,rebalance,230.0,0.0006280737440254715,0.14445696112585843,0.00014445696112585843
2020-04-21,113520,sell,rebalance_resize,150.0,4.449919884079806e-05,0.006674879826119708,6.674879826119708e-06
2020-04-21,128050,buy,rebalance,113.0,8.971036166663786e-05,0.010137270868330078,1.0137270868330078e-05
2020-04-21,123002,buy,rebalance,128.89,5.921855287770852e-05,0.0076326792804078504,7.63267928040785e-06
2020-04-21,113509,buy,rebalance,129.89,4.092194385034046e-05,0.005315351286720721,5.315351286720721e-06
2020-04-21,128054,buy,rebalance,121.0,6.40121007485746e-05,0.0077454641905775265,7.745464190577526e-06
2020-04-21,113515,buy,rebalance,132.35,4.342406931325987e-05,0.005747175573609943,5.7471755736099425e-06
2020-04-21,128049,buy,rebalance,111.87,0.0008536002492471863,0.09549225988328273,9.549225988328274e-05
2020-04-21,128021,buy,rebalance,123.998,5.8846184177878676e-05,0.0072968091456886005,7.2968091456886e-06
2020-04-21,113526,buy,rebalance,128.55,5.10208119828639e-05,0.006558725380397154,6.558725380397155e-06
2020-04-21,127003,buy,rebalance,110.372,0.0008651855532497621,0.09549225988328273,9.549225988328274e-05
