date,nav,cash,cash_weight,holdings,locked_today,daily_return
2018-01-11,1.003320358543275,-2.7755575615628914e-16,-2.766372213948429e-16,20,0,0.0033203585432750593
2018-01-12,1.0016262922301318,-2.7755575615628914e-16,-2.7710510228151883e-16,20,0,-0.0016884600204892797
2018-01-15,0.9872699121917846,0.0001771121352715953,0.0001793958603259753,20,0,-0.014333070277520843
2018-01-16,0.9871056042695443,0.0001771121352715953,0.00017942572152921554,20,0,-0.0001664265467946624
2018-01-17,0.9880575600945096,0.0001771121352715953,0.0001792528516806796,20,0,0.0009643910649963505
2018-01-18,0.9926574790342365,0.0001771121352715953,0.00017842220404555754,20,0,0.00465551717380408
2018-01-19,0.9975805538373202,0.0001771121352715953,0.00017754168782692384,20,0,0.004959489962109931
2018-01-22,1.0097067800414268,0.0003907016758088823,0.0003869456792127833,20,0,0.012155636111250923
2018-01-23,1.0147583994654867,-1.962405932198763e-17,-1.9338651773983242e-17,20,0,0.005003055861279471
2018-01-24,1.0260094386731038,-1.962405932198763e-17,-1.9126587516940027e-17,20,0,0.011087406828604207
2018-01-25,1.0376010315417408,-1.962405932198763e-17,-1.891291423720813e-17,20,0,0.011297744866390236
2018-01-26,1.034818368001401,-1.962405932198763e-17,-1.8963771738888445e-17,20,0,-0.002681824184585846
2018-01-29,1.0194661766881354,-1.962405932198763e-17,-1.9249348110536502e-17,20,0,-0.014835638589326572
2018-01-30,1.0153158047450699,-1.962405932198763e-17,-1.9328034913151903e-17,20,0,-0.004071122748327549
2018-01-31,1.0058382839232989,6.288372600415926e-18,6.2518723943256185e-18,20,0,-0.009334554606042711
2018-02-01,0.9910051873777777,6.288372600415926e-18,6.3454487226803554e-18,20,0,-0.014746999376146541
2018-02-02,0.9945013957078073,6.288372600415926e-18,6.323141050938758e-18,20,0,0.0035279415027893446
2018-02-05,0.9959511842846168,6.288372600415926e-18,6.313936566010321e-18,20,0,0.001457804466707291
2018-02-06,0.9836335410673642,6.288372600415926e-18,6.393003428484415e-18,20,0,-0.01236771782755619
2018-02-07,0.9850086891895928,6.288372600415926e-18,6.384078302486477e-18,20,0,0.0013980289048871608
2018-02-08,0.9886606665321624,6.288372600415926e-18,6.3604963900031485e-18,20,0,0.0037075585044576975
2018-02-09,0.9728905021316776,6.288372600415926e-18,6.463597482591946e-18,20,0,-0.015951038545713003
2018-02-12,0.987393154520116,6.288372600415926e-18,6.368661329713334e-18,20,0,0.01490676736658636
2018-02-13,0.9941729273443217,-1.0408312943529579e-16,-1.0469318422633697e-16,20,0,0.00686633565684458
2018-02-14,0.9955249340345598,-1.0408312943529579e-16,-1.0455100206629534e-16,20,0,0.0013599311076089027
2018-02-22,1.0042000178466648,-1.0408312943529579e-16,-1.0364780679698081e-16,20,0,0.008714079894460935
2018-02-23,1.0029793137307215,-6.938893903907228e-18,-6.918282170842632e-18,20,0,-0.0012155985802120295
2018-02-26,1.0141047166662924,-6.938893903907228e-18,-6.84238401603903e-18,20,0,0.011092355329033188
2018-02-27,1.0127381102108444,-6.938893903907228e-18,-6.851617248276164e-18,20,0,-0.0013475989540218114
2018-02-28,1.0110623971320178,-6.938893903907228e-18,-6.862972971391392e-18,20,0,-0.0016546361412997923
2018-03-01,1.0145723571616485,0.001126158823074118,0.001109983743519922,20,1,0.0034715562952267742
2018-03-02,1.0112449510938448,0.001126158823074118,0.001113636040264995,20,1,-0.0032796143560548385
2018-03-05,1.0110536905554757,0.001126158823074118,0.0011138467062569181,20,1,-0.00018913373872697647
2018-03-06,1.01003985316319,0.001126158823074118,0.0011149647407944078,20,1,-0.0010027532679581785
2018-03-07,1.0109071900769708,0.001126158823074118,0.0011140081247106096,20,1,0.0008587155358914522
