date,nav,cash,cash_weight,holdings,locked_today,daily_return
2018-01-11,1.003320358543275,-2.7755575615628914e-16,-2.766372213948429e-16,20,0,0.0033203585432750593
2018-01-12,1.0016262922301318,-2.7755575615628914e-16,-2.7710510228151883e-16,20,0,-0.0016884600204892797
2018-01-15,0.9870928000565127,-2.7755575615628914e-16,-2.811850680507432e-16,20,0,-0.014509894844373705
2018-01-16,0.9869284921342725,-2.7755575615628914e-16,-2.812318808995611e-16,20,0,-0.00016645640838508502
2018-01-17,0.9878804479592378,-2.7755575615628914e-16,-2.8096087611579265e-16,20,0,0.0009645641326117005
2018-01-18,0.9924803668989646,-2.7755575615628914e-16,-2.796586868751073e-16,20,0,0.004656351838149275
2018-01-19,0.9974034417020483,-2.7755575615628914e-16,-2.7827832204252873e-16,20,0,0.004960375003151052
2018-01-22,1.0093160783656177,-2.7755575615628914e-16,-2.749938915128889e-16,20,0,0.011943649044603877
2018-01-23,1.0143659692564828,-2.168404344971009e-17,-2.1376942944570798e-17,20,0,0.005003279942832561
2018-01-24,1.0256126564771852,-2.168404344971009e-17,-2.1142527164389036e-17,20,0,0.011087405888573043
2018-01-25,1.0371997654575629,-2.168404344971009e-17,-2.0906332773941697e-17,20,0,0.011297743750723122
2018-01-26,1.0344181773756707,-2.168404344971009e-17,-2.0962550662752975e-17,20,0,-0.0026818248273177137
2018-01-29,1.0190719236985761,-2.168404344971009e-17,-2.1278226733016987e-17,20,0,-0.014835638055035072
2018-01-30,1.0149231581045526,-2.168404344971009e-17,-2.136520708642289e-17,20,0,-0.004071121475868189
2018-01-31,1.0054493026323288,-2.4828111359814676e-17,-2.4693548739666076e-17,20,0,-0.009334554440473042
2018-02-01,0.9906219423930875,-2.4828111359814676e-17,-2.506315507188984e-17,20,0,-0.01474699937671875
2018-02-02,0.9941167986569033,-2.4828111359814676e-17,-2.497504457560578e-17,20,0,0.0035279415024596084
2018-02-05,0.9955660265667126,-2.4828111359814676e-17,-2.4938688843608257e-17,20,0,0.0014578044670074952
2018-02-06,0.9832531468712999,-2.4828111359814676e-17,-2.5250985912241865e-17,20,0,-0.012367717827690972
2018-02-07,0.9846277631913716,-2.4828111359814676e-17,-2.5215733587830086e-17,20,0,0.0013980289048101113
2018-02-08,0.9882783282282408,-2.4828111359814676e-17,-2.512259011520151e-17,20,0,0.003707558504177255
2018-02-09,0.9725142625209335,-2.4828111359814676e-17,-2.5529817213637262e-17,20,0,-0.015951038545556906
2018-02-12,0.9870113063926863,-2.4828111359814676e-17,-2.515483986759592e-17,20,0,0.014906767366242857
2018-02-13,0.9937884573196094,-3.469419039622429e-17,-3.4911041822521787e-17,20,0,0.006866335656976474
2018-02-14,0.995139941157101,-3.469419039622429e-17,-3.486362968798494e-17,20,0,0.0013599311076089027
2018-02-22,1.0038116701105129,-3.469419039622429e-17,-3.4562449739605733e-17,20,0,0.008714079894460713
2018-02-23,1.0025914380695264,-1.3877787807814457e-17,-1.3841917336273998e-17,20,0,-0.0012155985802118074
2018-02-26,1.0137125385504397,-1.3877787807814457e-17,-1.36900623007574e-17,20,0,0.011092355329032966
2018-02-27,1.0123464605938106,-1.3877787807814457e-17,-1.3708535909410087e-17,20,0,-0.0013475989540215894
2018-02-28,1.0106713955525952,-1.3877787807814457e-17,-1.373125614208823e-17,20,0,-0.0016546361412997923
2018-03-01,1.0141799981982311,0.0011257233110032877,0.0011099837435201067,20,1,0.003471556295226552
2018-03-02,1.010853878916517,0.0011257233110032877,0.0011136360402651802,20,1,-0.0032796143560545055
2018-03-05,1.0106626923430908,0.0011257233110032877,0.001113846706257103,20,1,-0.00018913373872697647
