date,bond_code,side,reason,price,quantity,notional,fee
2019-01-22,123002,buy,rebalance,107.59,0.0004642629421883998,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128021,buy,rebalance,97.638,0.0005115841163281708,0.04995004995004994,4.9950049950049936e-05
2019-01-22,113016,buy,rebalance,99.8,0.0005005015025055104,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128025,buy,rebalance,97.11,0.0005143656672850369,0.04995004995004994,4.9950049950049936e-05
2019-01-22,127003,buy,rebalance,93.15,0.0005362324202903911,0.04995004995004994,4.9950049950049936e-05
2019-01-22,123001,buy,rebalance,100.002,0.0004994905096903056,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128019,buy,rebalance,98.5,0.0005071071060918775,0.04995004995004994,4.9950049950049936e-05
2019-01-22,113015,buy,rebalance,112.09,0.0004456244977254879,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128014,buy,rebalance,94.959,0.0005260170173448535,0.04995004995004994,4.9950049950049936e-05
2019-01-22,113011,buy,rebalance,109.0,0.00045825733899128383,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110040,buy,rebalance,107.6,0.0004642197950748136,0.04995004995004994,4.9950049950049936e-05
2019-01-22,113010,buy,rebalance,102.3,0.00048827028299169053,0.04995004995004994,4.9950049950049936e-05
2019-01-22,113503,buy,rebalance,95.35,0.000523859988988463,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128017,buy,rebalance,102.3,0.00048827028299169053,0.04995004995004994,4.9950049950049936e-05
2019-01-22,128020,buy,rebalance,93.5,0.0005342251331556143,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110033,buy,rebalance,104.67,0.0004772145786763154,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110041,buy,rebalance,100.5,0.0004970154223885566,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110038,buy,rebalance,111.11,0.0004495549450999004,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110034,buy,rebalance,103.04,0.0004847636835214474,0.04995004995004994,4.9950049950049936e-05
2019-01-22,110032,buy,rebalance,125.2,0.0003989620603039132,0.04995004995004994,4.9950049950049936e-05
2019-01-28,113010,sell,risk_exit_next_open,100.52,0.00048827028299169053,0.04908092884632473,4.908092884632473e-05
2019-01-31,110033,sell,rebalance,105.79,0.0004772145786763154,0.05048453027816741,5.048453027816741e-05
2019-01-31,128019,sell,rebalance_resize,99.72,4.699567844901407e-06,0.0004686409054935683,4.686409054935683e-07
2019-01-31,113015,sell,rebalance_resize,115.5,1.1857573794851858e-05,0.0013695497733053896,1.3695497733053897e-06
2019-01-31,128017,sell,rebalance_resize,102.95,1.6255067509090286e-06,0.0001673459200060845,1.673459200060845e-07
2019-01-31,110041,sell,rebalance_resize,101.62,4.001451575838054e-06,0.0004066275091366631,4.0662750913666315e-07
2019-01-31,110032,sell,rebalance_resize,129.95,1.3428549615275596e-05,0.0017450400225050636,1.7450400225050637e-06
2019-01-31,110040,sell,rebalance_resize,108.2,1.1876350564359894e-06,0.00012850211310637405,1.2850211310637406e-07
2019-01-31,113011,sell,rebalance_resize,111.99,1.0895255644659477e-05,0.0012201596796454148,1.220159679645415e-06
2019-01-31,128025,buy,rebalance,96.1,6.959782880508765e-06,0.0006688351348168922,6.688351348168923e-07
2019-01-31,113016,buy,rebalance,99.0,5.554063061478292e-06,0.0005498522430863509,5.49852243086351e-07
2019-01-31,123002,buy,rebalance,107.1,3.521210856469848e-06,0.0003771216827279207,3.7712168272792073e-07
2019-01-31,128021,buy,rebalance,96.262,8.861977154747688e-06,0.0008530716448703219,8.530716448703219e-07
2019-01-31,127003,buy,rebalance,92.918,2.950420197339066e-06,0.00027414714389635135,2.7414714389635135e-07
2019-01-31,123001,buy,rebalance,100.058,1.218592849766696e-06,0.00012192996336195608,1.2192996336195608e-07
2019-01-31,110034,buy,rebalance,102.2,5.446628037338684e-06,0.0005566453854160135,5.566453854160135e-07
2019-01-31,128020,buy,rebalance,93.33,2.5778935933090106e-06,0.00024059480906352997,2.4059480906352995e-07
2019-01-31,128014,buy,rebalance,94.466,4.328814140790043e-06,0.00040892575662387215,4.0892575662387217e-07
2019-01-31,113503,buy,rebalance,94.65,5.453655200284985e-06,0.0005161884647069739,5.161884647069738e-07
2019-01-31,110032,buy,rebalance,129.95,5.3340502917638355e-20,6.931598354147104e-18,6.931598354147104e-21
2019-01-31,110038,buy,rebalance,111.0,1.7952348997538907e-06,0.00019927107387268187,1.9927107387268188e-07
2019-01-31,128024,buy,rebalance,113.705,0.00044015130833239326,0.05004740451393477,5.0047404513934776e-05
2019-01-31,128026,buy,rebalance,88.665,0.0005644550218680965,0.05004740451393477,5.0047404513934776e-05
2019-02-12,113011,sell,rebalance,113.59,0.00044736208334662434,0.05081585904734306,5.081585904734306e-05
2019-02-12,128024,sell,rebalance,115.501,0.00044015130833239326,0.05083791626369975,5.0837916263699754e-05
2019-02-12,128025,sell,rebalance_resize,97.999,3.3719430576074404e-06,0.0003304470477024715,3.304470477024715e-07
