variant,stress_contract,observations,baseline_cagr,stressed_cagr,stressed_benchmark_cagr,stressed_cagr_excess,stressed_event_boundary_mdd,stressed_down_event_return,stressed_down_event_benchmark,stressed_recent_cagr,stressed_recent_benchmark_cagr,risk_exit_uses,stale_mark_uses,missed_buy_cash_uses,exit_cash_uses,gate_decision
F02-252,强赎次一开盘额外不利1%_十只尾部事件额外不利20%_无开盘滞后估值额外不利10%,246,0.256208,0.244867,0.127780,0.117087,-0.147735,-0.011899,-0.015731,0.246198,0.184305,78,3,3,1,四阶段和近期仍正超额_通过悲观误差界
B0+F02-252+balance,强赎次一开盘额外不利1%_十只尾部事件额外不利20%_无开盘滞后估值额外不利10%,246,0.301689,0.286341,0.127780,0.158561,-0.139525,-0.013895,-0.015731,0.242934,0.184305,111,4,3,6,四阶段和近期仍正超额_通过但风险退出更频繁
