comparison,events,mean_difference,hac3_t,block6_ci_low,block6_ci_high,win_rate
"C_BAL minus B0_BASE, pretax_total",247,0.0011664832860981893,1.0559728457424955,-0.0009144344465802313,0.003248323186877086,0.5101214574898786
"C_OFF minus C_BAL, pretax_total",247,0.001498417058002328,1.61807023060178,-0.00019887292232644086,0.003253646361522376,0.5506072874493927
"C_BAL minus B0_BASE, price_ex_coupon",247,0.0011429696046868201,1.0358428027460054,-0.0009418977581048967,0.003226159497019665,0.5060728744939271
"C_OFF minus C_BAL, price_ex_coupon",247,0.001501169225757432,1.6218844049326855,-0.00019058823156525528,0.0032477969298578876,0.5465587044534413
"C_BAL minus U-EW, pretax_total",246,0.0032087216728053074,3.464374604386042,0.0015059559337492242,0.005058258638886209,0.5894308943089431
"C_OFF minus U-EW, pretax_total",246,0.004711076353790408,4.310572799085482,0.002618894037363686,0.007187484695124014,0.5975609756097561
