因子,方向,观察数,开始,结束,策略年化,同域年化,年化超额,事件边界回撤,近似日频回撤,下跌事件策略均值,下跌事件同域均值,上涨事件策略均值,上涨事件同域均值,2025至2026策略年化,2025至2026同域年化,事件均值超额,换手和均值,风险退出次数,相对F02事件均值增量,与F02事件收益相关,与F02平均Top20重合,相对B2G事件均值增量,与B2G事件收益相关,决定
60日股债相关,高,260,2018-08-13,2026-07-13,0.154957,0.122099,0.032858,-0.409534,-0.455894,-0.021264,-0.015028,0.028546,0.020494,0.200762,0.206375,0.001348,0.429615,105,-0.001655,0.761867,0.845528,-0.000437,0.749694,有效识别高股性进攻但回撤和风险退出过重；相对F02与B2G均无增量
60日股债相关,低,260,2018-08-13,2026-07-13,0.019508,0.122099,-0.102591,-0.297131,-0.334271,-0.015953,-0.015028,0.016360,0.020494,0.026042,0.206375,-0.002628,0.398462,6,,,,,,只作低股性对照；没有收益资格
60日回归Beta,高,260,2018-08-13,2026-07-13,0.051475,0.122099,-0.070624,-0.612818,-0.618903,-0.030832,-0.015028,0.032421,0.020494,0.354753,0.206375,-0.001085,0.299615,101,-0.004175,0.702264,0.943089,-0.002869,0.708000,上涨弹性高但全期负超额和极端回撤；淘汰收益排名
60日回归Beta,低,260,2018-08-13,2026-07-13,0.068698,0.122099,-0.053401,-0.147502,-0.170932,-0.007888,-0.015028,0.011062,0.020494,0.060963,0.206375,-0.001656,0.320769,1,,,,,,有防守但严重少涨和负超额；只作暴露或风险层
