variant,stress,observations,strategy_cagr,benchmark_cagr,event_boundary_mdd,daily_path_mdd_approx,recent_strategy_cagr,recent_benchmark_cagr,adv20_est_median_cny,adv20_est_p10_cny,share_adv_below_5m,share_adv_below_10m,share_adv_below_20m,five_pct_adv_equal_weight_capacity_median_cny,five_pct_adv_equal_weight_capacity_p10_cny,five_pct_adv_equal_weight_capacity_min_cny,gate_decision
F02-252,基线不作流动性剔除,246,0.256208,0.132166,-0.141331,-0.151624,0.267813,0.189711,48028131,8313109,0.050813,0.125203,0.268089,8739949,2179257,241194,收益稳健但单券瓶颈时点容量偏低
B0+F02-252+balance,基线不作流动性剔除,246,0.301689,0.132166,-0.138695,-0.188265,0.277190,0.189711,40147691,6362292,0.076016,0.159553,0.315650,8618268,945903,108075,偏进攻候选更依赖低流动性尾部
F02-252,每期剔除合格域ADV后10%,246,0.253354,0.129928,-0.141331,-0.151039,0.253746,0.195194,50745501,9661325,0.033333,0.105488,0.249797,10827755,3418974,1452834,四阶段正超额_通过
B0+F02-252+balance,每期剔除合格域ADV后10%,246,0.280570,0.129928,-0.130513,-0.183009,0.293304,0.195194,42017219,8131706,0.046951,0.132520,0.293699,10107586,3136755,1437235,四阶段正超额_通过
F02-252,每期剔除合格域ADV后20%,246,0.250454,0.129450,-0.141857,-0.149470,0.239017,0.200845,55207069,11401042,0.022154,0.076423,0.215447,14542076,4171294,1711983,四阶段正超额_通过但近期余量变薄
B0+F02-252+balance,每期剔除合格域ADV后20%,246,0.268689,0.129450,-0.132799,-0.154554,0.249307,0.200845,46582589,10367956,0.027642,0.092073,0.253862,13053015,4098663,1711983,四阶段正超额_通过且回撤改善
