date,nav,daily_return,cumulative_return
2017-01-03,1.011812,0.0,0.011811999999999934
2017-01-04,1.022874,0.010932861045332753,0.02287400000000006
2017-01-05,1.029158,0.006143474171794283,0.029158000000000017
2017-01-06,1.022046,-0.006910503537843615,0.02204600000000001
2017-01-09,1.030305,0.008080849589940264,0.030305000000000026
2017-01-10,1.026392,-0.0037979045040061887,0.02639199999999997
2017-01-11,1.008044,-0.017876211038277856,0.00804399999999994
2017-01-12,0.998067,-0.009897385431588246,-0.0019329999999999625
2017-01-13,0.970326,-0.027794727207692493,-0.029673999999999978
2017-01-16,0.910951,-0.061190775059103863,-0.08904900000000004
2017-01-17,0.9216489999999999,0.011743771070013675,-0.07835100000000006
2017-01-18,0.917097,-0.004938973513777922,-0.08290299999999995
2017-01-19,0.906891,-0.011128593812868237,-0.093109
2017-01-20,0.929666,0.02511327160595922,-0.07033400000000001
2017-01-23,0.94493,0.016418799870060896,-0.05506999999999995
2017-01-24,0.949157,0.004473347232070157,-0.05084299999999997
2017-01-25,0.95526,0.006429916230929145,-0.04474
2017-01-26,0.968105,0.013446600925402397,-0.03189500000000001
2017-02-03,0.960392,-0.007967111005521055,-0.03960799999999998
2017-02-06,0.979301,0.019688835392214887,-0.020699000000000023
2017-02-07,0.979844,0.0005544771219472278,-0.02015599999999995
2017-02-08,0.98439,0.004639514045092774,-0.015610000000000013
2017-02-09,0.994375,0.01014333749834928,-0.005624999999999991
2017-02-10,0.98994,-0.004460087994971662,-0.010059999999999958
2017-02-13,0.99351,0.0036062791684343676,-0.006489999999999996
2017-02-14,0.991482,-0.0020412476975572025,-0.008518000000000026
2017-02-15,0.977463,-0.014139439747771543,-0.02253700000000003
2017-02-16,0.989741,0.012561089268852133,-0.010259000000000018
2017-02-17,0.979658,-0.010187513703079798,-0.02034199999999997
2017-02-20,0.985189,0.0056458478366940845,-0.014811000000000019
2017-02-21,0.995484,0.010449771566674038,-0.0045159999999999645
2017-02-22,0.998715,0.0032456573887675866,-0.0012849999999999806
2017-02-23,1.000722,0.0020095823132724178,0.0007219999999998894
2017-02-24,1.0104630000000001,0.009733972072164088,0.010463000000000111
2017-02-27,1.002501,-0.007879556203443383,0.0025010000000000865
2017-02-28,1.010458,0.007937149189876092,0.010458000000000078
2017-03-01,1.015058,0.004552391093939567,0.015058000000000016
2017-03-02,1.010513,-0.004477576650792403,0.010512999999999995
2017-03-03,1.0087,-0.0017941382248423121,0.00869999999999993
2017-03-06,1.025453,0.016608505997818934,0.025452999999999948
2017-03-07,1.027571,0.0020654286447063797,0.027571000000000012
2017-03-08,1.025642,-0.0018772425457705966,0.025641999999999943
2017-03-09,1.019183,-0.006297519017356978,0.01918299999999995
2017-03-10,1.016552,-0.0025814794791514384,0.0165519999999999
2017-03-13,1.012625,-0.003863058653172491,0.012625000000000108
2017-03-14,1.011007,-0.001597827428712617,0.011006999999999989
2017-03-15,1.004077,-0.006854551946722354,0.004077000000000108
2017-03-16,1.015941,0.011815826873835311,0.015940999999999983
2017-03-17,1.012564,-0.0033240119258893808,0.01256400000000002
2017-03-20,1.023043,0.01034897547216751,0.023042999999999925
2017-03-21,1.027462,0.004319466532687555,0.027462000000000097
2017-03-22,1.016663,-0.010510364373572889,0.016663000000000094
2017-03-23,1.014511,-0.0021167289455799043,0.01451099999999994
2017-03-24,1.008989,-0.005443016389176658,0.008988999999999914
2017-03-27,1.003031,-0.005904920668114211,0.003031000000000006
2017-03-28,1.004752,0.0017157994119822995,0.0047520000000000895
