start_date,end_date,return,universe_size
2018-01-11,2018-01-23,0.01185664553164121,38
2018-01-23,2018-01-31,-0.0034675557266472807,45
2018-01-31,2018-02-13,-0.023102612932474547,52
2018-02-13,2018-02-23,0.017069944462888075,53
2018-02-23,2018-03-01,0.0026501631336610693,54
2018-03-01,2018-03-13,0.016447388170853314,54
2018-03-13,2018-03-21,-0.006670737680871903,54
2018-03-21,2018-04-02,0.0003540401720056021,56
2018-04-02,2018-04-11,0.0035142565489335643,59
2018-04-11,2018-04-23,-0.011406927574018084,61
2018-04-23,2018-05-11,0.01664485792749799,63
2018-05-11,2018-05-22,-0.0032488930626044282,65
2018-05-22,2018-05-31,-0.03873676447723024,68
2018-05-31,2018-06-12,-0.0015983563887445637,67
2018-06-12,2018-06-21,-0.04071910012790211,67
2018-06-21,2018-07-11,0.014417025679746377,67
2018-07-11,2018-07-23,0.02423868053547787,70
2018-07-23,2018-07-31,-0.008808465609469992,71
2018-07-31,2018-08-13,-0.006013373993447957,73
2018-08-13,2018-08-21,-0.01381934959893883,77
2018-08-21,2018-08-31,0.008540724912220203,82
2018-08-31,2018-09-11,-0.008723838451508125,87
2018-09-11,2018-09-21,0.000884825329751112,89
2018-09-21,2018-10-11,-0.017179644976029123,90
2018-10-11,2018-10-23,-0.005262586431570693,92
2018-10-23,2018-10-31,-0.0010514990640022692,90
2018-10-31,2018-11-13,0.017500365682302742,92
2018-11-13,2018-11-21,0.010780480697373562,93
2018-11-21,2018-12-03,0.0075555512337009195,93
2018-12-03,2018-12-11,-0.0007181472901346374,96
2018-12-11,2018-12-21,-0.013732230204161753,100
2018-12-21,2019-01-11,0.02270935712973036,104
2019-01-11,2019-01-22,0.007226035055132068,111
2019-01-22,2019-01-31,-0.0015474066838561205,115
2019-01-31,2019-02-12,0.019959013518816203,115
2019-02-12,2019-02-21,0.03370067642271993,116
2019-02-21,2019-03-01,0.03804393520423678,119
2019-03-01,2019-03-12,0.04945870433570758,120
2019-03-12,2019-03-21,0.015518711450244065,120
2019-03-21,2019-04-11,0.015162852880742789,123
2019-04-11,2019-04-23,-0.012735711443871773,135
2019-04-23,2019-05-06,-0.06267896532320048,141
2019-05-06,2019-05-13,0.004563749257134984,151
2019-05-13,2019-05-21,-0.005733485044340012,156
2019-05-21,2019-05-31,-0.005711192241063361,159
2019-05-31,2019-06-11,-0.023128040548832742,159
2019-06-11,2019-06-21,0.026186687480566018,159
2019-06-21,2019-07-11,0.0047506018173288775,158
2019-07-11,2019-07-23,-0.006573864008647341,166
2019-07-23,2019-07-31,0.020289747816395462,168
2019-07-31,2019-08-13,-0.009442063329997462,167
2019-08-13,2019-08-21,0.02147983005510947,170
2019-08-21,2019-09-02,0.008536528784924053,171
2019-09-02,2019-09-11,0.03776038374578766,169
2019-09-11,2019-09-23,-0.009044193059907401,169
2019-09-23,2019-10-08,-0.01533927359646579,172
2019-10-08,2019-10-11,0.009109731578470105,173
2019-10-11,2019-10-22,-0.006264132802517792,173
2019-10-22,2019-10-31,-0.0003057580779839159,175
2019-10-31,2019-11-12,0.0012083024419002322,173
2019-11-12,2019-11-21,-0.0003634315752741508,179
2019-11-21,2019-12-11,0.007866548129053094,180
2019-12-11,2019-12-23,0.02686052083711466,190
2019-12-23,2019-12-31,0.011591112443957568,195
2019-12-31,2020-01-13,0.03487566882927316,195
2020-01-13,2020-01-21,0.011725573317837943,205
2020-01-21,2020-02-11,0.000610828826558075,212
2020-02-11,2020-02-21,0.0540205058397376,219
2020-02-21,2020-03-11,0.002516408282945876,221
2020-03-11,2020-03-23,-0.002502135163004024,214
2020-03-23,2020-03-31,0.014301188959871902,216
2020-03-31,2020-04-13,-0.03575733846077307,215
2020-04-13,2020-04-21,0.04095760450234324,227
2020-04-21,2020-05-06,0.009428358868392585,234
2020-05-06,2020-05-12,-0.0038530373142962203,238
2020-05-12,2020-05-21,-0.033067728114008356,242
2020-05-21,2020-06-11,0.009002423379924933,248
2020-06-11,2020-06-23,0.007765177053252897,251
2020-06-23,2020-07-01,-0.005380879459151905,252
2020-07-01,2020-07-13,0.08044189615817357,256
2020-07-13,2020-07-21,-0.012530362271108911,261
2020-07-21,2020-07-31,0.008171566247184755,269
2020-07-31,2020-08-11,0.052699336327413034,271
2020-08-11,2020-08-21,-0.006174932233311641,275
2020-08-21,2020-09-01,0.001224817438454268,280
2020-09-01,2020-09-11,-0.04206670699262128,282
2020-09-11,2020-09-22,0.01594898041744285,284
2020-09-22,2020-10-09,-0.015180289523271304,293
2020-10-09,2020-10-13,0.023422707379861556,296
2020-10-13,2020-10-21,0.026062708897126946,296
2020-10-21,2020-11-02,-0.003542290722693228,298
2020-11-02,2020-11-11,-0.005809739384588657,297
2020-11-11,2020-11-23,-0.0025601693879371374,300
2020-11-23,2020-12-01,-0.0010079487493603746,303
2020-12-01,2020-12-11,0.0023464793302683004,307
2020-12-11,2020-12-22,-0.013722809957156999,310
2020-12-22,2020-12-31,-0.007748232901594003,313
2020-12-31,2021-01-12,0.00682696078893485,323
2021-01-12,2021-01-21,0.01292584294679439,324
2021-01-21,2021-02-18,-0.05340295516261088,329
2021-02-18,2021-02-23,0.03238364415825766,324
