window_days,selector,eligible_universe,weeks,mean_weekly_top20_excess,delta_vs_matched_absolute,excess_win_rate,down_week_top20,down_week_market,up_week_top20,up_week_market,2018_2020_excess,2021_2022_excess,2023_2024_excess,2025_2026_excess,closed_period_missing_rate,first_gate_decision
126,absolute_double_low,仅保留双低自身历史满126个交易日且通过强赎与尾部风险过滤的券,385,0.001158,0.000000,0.565104,-0.010339,-0.013240,0.015033,0.015303,0.002080,0.001798,0.002356,-0.002390,0.007812,同口径基线
126,rolling_z_score_low,与同窗绝对双低完全相同的合格域,385,0.002331,0.001172,0.580729,-0.011047,-0.013240,0.017746,0.015303,0.004497,0.003974,0.001671,-0.001745,0.004818,通过首轮方向关但下跌周略弱
252,absolute_double_low,仅保留双低自身历史满252个交易日且通过强赎与尾部风险过滤的券,356,0.000891,0.000000,0.540845,-0.009911,-0.013125,0.014281,0.015273,0.001337,0.001958,0.002005,-0.002321,0.008451,同口径基线
252,rolling_z_score_low,与同窗绝对双低完全相同的合格域,356,0.001926,0.001035,0.588732,-0.010884,-0.013125,0.016944,0.015273,0.003066,0.003049,0.002530,-0.001348,0.005775,通过首轮方向关且四阶段均优于同域绝对双低
504,absolute_double_low,仅保留双低自身历史满504个交易日且通过强赎与尾部风险过滤的券,299,0.000376,0.000000,0.543624,-0.009631,-0.012798,0.012499,0.014499,-0.005479,0.002397,0.001174,-0.002066,0.009564,同口径基线
504,rolling_z_score_low,与同窗绝对双低完全相同的合格域,299,0.000358,-0.000018,0.500000,-0.011759,-0.012798,0.014278,0.014499,-0.003253,0.002014,0.000747,-0.001544,0.007047,未通过长窗稳健性且防守更弱
252,absolute_plus_z_equal_rank,与252日Z分数相同的合格域；绝对双低排名与Z分数排名等权,356,0.001801,0.000910,0.552113,-0.009754,-0.013125,0.015801,0.015273,0.002926,0.003071,0.003129,-0.002576,0.007324,弱于单独Z分数且近期更差不保留
