date,jsl_official_index,replica_index,jsl_norm,replica_norm,jsl_daily_return,replica_daily_return,replica_minus_official_daily_return
2025-07-21,2320.813,2221.4004942530137,1.0,1.0,,,
2025-07-22,2331.86,2231.854692843989,1.004759969889862,1.0047061295871778,0.004759969889861937,0.004706129587177754,-5.384030268418272e-05
2025-07-23,2325.331,2225.518538457493,1.0019467315979358,1.001853805387697,-0.0027999108008199824,-0.002838963668563177,-3.90528677431945e-05
2025-07-24,2348.491,2247.6150947264778,1.0119259931756672,1.0118009339339231,0.009959872379458945,0.009928722626727726,-3.114975273121878e-05
2025-07-25,2352.507,2251.421015980291,1.0136564212627213,1.0135142320373762,0.0017100342304909866,0.0016933154002849449,-1.67188302060417e-05
2025-07-28,2338.768,2237.9270699045383,1.0077365130236688,1.0074397100812216,-0.0058401526541684845,-0.005993524081002399,-0.0001533714268339148
2025-07-29,2346.135,2244.970813810088,1.0109108316783817,1.010610567350666,0.0031499490329951474,0.0031474412192755707,-2.507813719576646e-06
2025-07-30,2342.897,2241.6623006116306,1.0095156309448456,1.009121185671398,-0.001380142233929571,-0.0014737444148962275,-9.360218096665651e-05
2025-07-31,2322.233,2221.8480988967103,1.0006118545526934,1.0002014965985893,-0.008819849954991521,-0.008839066307852916,-1.9216352861395336e-05
2025-08-01,2330.918,2230.151353266604,1.0043540776443427,1.0039393432369488,0.0037399347955178186,0.003737093626705157,-2.8411688126617207e-06
2025-08-04,2357.49,2255.498019607279,1.0158035136824897,1.0153495623335274,0.011399800421979522,0.011365446700982051,-3.4353720997470916e-05
2025-08-05,2376.751,2273.7653937206746,1.0241027605412414,1.0235729214984575,0.008170130095992212,0.008099042408636903,-7.108768735530901e-05
2025-08-06,2394.838,2291.012224747107,1.0318961501853015,1.0313368663931544,0.007609968398035738,0.0075851409622391675,-2.482743579657054e-05
2025-08-07,2391.365,2287.689827696319,1.0303996918321294,1.029841234669211,-0.001450202477161433,-0.001450187395292124,1.508186930898603e-08
2025-08-08,2394.832,2290.9688574194056,1.0318935648843746,1.0313173438766996,0.0014497995914468653,0.0014333366715140183,-1.6462919932846987e-05
2025-08-11,2420.984,2315.8797731524137,1.0431620298576403,1.0425314026641426,0.01092018145740492,0.010873528748473804,-4.665270893111639e-05
2025-08-12,2412.486,2307.6184191008083,1.0395003819782118,1.0388124181438012,-0.0035101429831837505,-0.0035672637877742774,-5.712080459052693e-05
2025-08-13,2435.984,2330.082368774446,1.049625282174824,1.0489249348789664,0.00974016015015211,0.009734689881003344,-5.470269148766249e-06
2025-08-14,2419.565,2314.3654966781514,1.0425506061884349,1.0418497261820403,-0.006740192053806493,-0.006745200215630631,-5.008161824138213e-06
2025-08-15,2451.165,2344.5716849410805,1.0561665244033016,1.055447539066784,0.013060198837394177,0.013051606717385145,-8.5921200090322e-06
2025-08-18,2480.285,2372.1159034052635,1.0687138515683943,1.0678470224266925,0.011880065193489608,0.011748081170260827,-0.00013198402322878167
2025-08-19,2489.388,2380.7962071008988,1.0726361839579492,1.0717546040258197,0.0036701427456926616,0.0036593084187726,-1.0834326920061699e-05
