candidate,observations,start,end,candidate_cagr,formal_smallcap_cagr,correlation_daily,correlation_weekly,correlation_monthly,daily_observations,weekly_observations,monthly_observations,beta_daily,formal_smallcap_max_drawdown,formal_smallcap_mdd_peak,formal_smallcap_mdd_trough,candidate_return_during_smallcap_mdd,candidate_max_drawdown,candidate_mdd_peak,candidate_mdd_trough,smallcap_return_worst20,candidate_return_same_worst20,worst20_start,worst20_end,smallcap_down_days,smallcap_mean_down_day,candidate_mean_on_smallcap_down_days,candidate_nonnegative_on_smallcap_down_days,smallcap_5pct_tail_threshold,smallcap_tail_mean,candidate_mean_on_smallcap_5pct_tail,smallcap_below_minus2_days,candidate_mean_when_smallcap_below_minus2
B0_BASE,2064,2018-01-11,2026-07-17,0.18154015507902344,0.27288840330521746,0.6420314279560052,0.5877048946757999,0.6019032971968195,2064,426,102,0.30537625854401734,-0.4454818621436567,2024-01-04,2024-02-07,-0.06861569041968563,-0.15611092536642557,2020-12-02,2021-02-08,-0.42900520873615355,-0.04853420490698124,2024-01-11,2024-02-07,902,-0.013961289102628498,-0.003832575830564099,0.28713968957871394,-0.02965865267019126,-0.04625036023630658,-0.013846848344046555,210,-0.009841148876674631
C_BAL,1814,2019-01-22,2026-07-17,0.24925807797570698,0.33088655915982934,0.5524879383101057,0.5018565363741967,0.5506704362030479,1814,374,90,0.28951388809864587,-0.44548186214365715,2024-01-04,2024-02-07,-0.055352869514591396,-0.15160242215666142,2022-03-02,2022-04-26,-0.42900520873615355,-0.03104108392776217,2024-01-11,2024-02-07,790,-0.013749548102535007,-0.0035317317959550087,0.3189873417721519,-0.028624606551239447,-0.04558164073108196,-0.012079832093435626,181,-0.0090679771895812
C_OFF,1814,2019-01-22,2026-07-17,0.30777012717280083,0.33088655915982934,0.6333147188346064,0.5659881121423737,0.5757054445339069,1814,374,90,0.3911653254220415,-0.44548186214365715,2024-01-04,2024-02-07,-0.12497842449840468,-0.18945116526428096,2020-10-26,2021-02-08,-0.42900520873615355,-0.10405086479769787,2024-01-11,2024-02-07,790,-0.013749548102535007,-0.00463741700876163,0.3,-0.028624606551239447,-0.04558164073108196,-0.01686463359365453,181,-0.012846703243733307
