candidate_id,signal_date,execution_date,bond_code,target_weight,open_price_observed,action,one_way_cost,execution_note
B0_BASE,2026-07-10,2026-07-13,113658,0.05,135.0,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113681,0.05,136.75,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113062,0.05,128.846,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127067,0.05,140.0,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113056,0.05,125.09,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123178,0.05,135.46,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127061,0.05,96.89,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123188,0.05,149.0,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113052,0.05,115.57,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113058,0.05,132.135,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,113631,0.05,133.48,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127110,0.05,133.6,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127045,0.05,121.967,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127084,0.05,140.0,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123171,0.05,139.2,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123183,0.05,135.35,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123216,0.05,125.22,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,123149,0.05,133.949,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127103,0.05,141.3,buy,0.001,
B0_BASE,2026-07-10,2026-07-13,127089,0.05,123.9,buy,0.001,
C_BAL,2026-07-10,2026-07-13,113658,0.05,135.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,127067,0.05,140.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,113636,0.05,129.773,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123188,0.05,149.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123171,0.05,139.2,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123122,0.05,129.6,buy,0.001,
C_BAL,2026-07-10,2026-07-13,127053,0.05,178.153,buy,0.001,
C_BAL,2026-07-10,2026-07-13,113681,0.05,136.75,buy,0.001,
C_BAL,2026-07-10,2026-07-13,127046,0.05,128.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123178,0.05,135.46,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123235,0.05,150.864,buy,0.001,
C_BAL,2026-07-10,2026-07-13,111012,0.05,336.369,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123165,0.05,144.072,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123222,0.05,149.599,buy,0.001,
C_BAL,2026-07-10,2026-07-13,127084,0.05,140.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123216,0.05,125.22,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123124,0.05,147.0,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123209,0.05,173.455,buy,0.001,
C_BAL,2026-07-10,2026-07-13,123150,0.05,133.53,buy,0.001,
C_BAL,2026-07-10,2026-07-13,113650,0.05,123.555,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123171,0.05,139.2,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123173,0.05,131.625,buy,0.001,
C_OFF,2026-07-10,2026-07-13,113681,0.05,136.75,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123188,0.05,149.0,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123222,0.05,149.599,buy,0.001,
C_OFF,2026-07-10,2026-07-13,118007,0.05,134.596,buy,0.001,
C_OFF,2026-07-10,2026-07-13,113658,0.05,135.0,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123211,0.05,166.088,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123160,0.05,160.741,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123124,0.05,147.0,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123209,0.05,173.455,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123183,0.05,135.35,buy,0.001,
C_OFF,2026-07-10,2026-07-13,118016,0.05,163.61,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123235,0.05,150.864,buy,0.001,
C_OFF,2026-07-10,2026-07-13,118039,0.05,135.76,buy,0.001,
C_OFF,2026-07-10,2026-07-13,127053,0.05,178.153,buy,0.001,
C_OFF,2026-07-10,2026-07-13,113631,0.05,133.48,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123178,0.05,135.46,buy,0.001,
C_OFF,2026-07-10,2026-07-13,123157,0.05,127.668,buy,0.001,
C_OFF,2026-07-10,2026-07-13,111002,0.05,143.834,buy,0.001,
