因子或对照,方向,观察数,开始,结束,策略年化,同域年化,年化超额,事件边界回撤,近似日频回撤,下跌事件策略均值,下跌事件同域均值,2025至2026策略年化,2025至2026同域年化,事件均值超额,换手和均值,风险退出次数,相对低残差事件均值差,与低残差事件收益相关,与低残差平均Top20重合,决定
修正转股溢价残差,低,279,2018-01-11,2026-07-13,0.136815,0.122038,0.014777,-0.160132,-0.163939,-0.011935,-0.014968,0.127136,0.203564,0.000456,0.538710,15,,,,长期有小幅方向但近期失败且被同域双低主导；不晋级
修正转股溢价残差,高,279,2018-01-11,2026-07-13,-0.040261,0.122038,-0.162300,-0.588903,-0.607740,-0.024306,-0.014968,0.153333,0.203564,-0.004291,0.586738,0,-0.004748,0.475578,0.035842,只作方向对照；高残差显著有害
同域F02_252,低历史位置,244,2019-02-12,2026-07-13,0.215488,0.158963,0.056525,-0.124013,-0.124271,-0.012493,-0.014323,0.178046,0.195668,0.001492,0.756148,23,0.001561,0.809888,3.073770,在同域显著优于低残差；但近期同样略负超额
同域经典双低,低双低,279,2018-01-11,2026-07-13,0.160875,0.122038,0.038837,-0.124821,-0.163940,-0.011530,-0.014968,0.141288,0.203564,0.001110,0.520072,22,0.000654,0.975696,13.684588,比低残差更简单且收益更高；残差无增量
